Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|P54775|PRS6B_MOUSE	P54775	PRS6B_MOUSE	Psmc4	418	Mus musculus OX=10090	26S proteasome regulatory subunit 6B 	1:Experimental evidence at protein level	1.0000	0.9990	27	27	27	64	64	64	39932172	39932172	39932172	10C(57.0214), 10K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15M(15.9949), 16K(229.1629), 18K(229.1629), 19K(229.1629), 1K(229.1629), 1M(15.9949), 20K(229.1629), 4K(229.1629), 4M(15.9949), 4S(229.1629), 8S(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			4249608.3843	4500858.4862	3512769.1042	3741262.4478	5308185.1567	4548795.0305	4116599.6254	3409811.5334	4033788.8167	3184353.1206
sp|P54797|TNG2_MOUSE	P54797	TNG2_MOUSE	Tango2	276	Mus musculus OX=10090	Transport and Golgi organization 2 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	25872021	25872021	25872021	16K(229.1629), 37K(229.1629), N-term(229.1629)			155291.2865	151237.3452	129353.5192	167235.0278	214095.2876	243466.9993	170426.9710	163430.0638	189158.3235	165063.1614
sp|P54822|PUR8_MOUSE	P54822	PUR8_MOUSE	Adsl	484	Mus musculus OX=10090	Adenylosuccinate lyase 	1:Experimental evidence at protein level	1.0000	0.9990	27	27	27	128	128	128	111792636	111792636	111792636	10M(15.9949), 11K(229.1629), 11S(229.1629), 12C(57.0214), 13C(57.0214), 14C(57.0214), 16K(229.1629), 16S(229.1629), 17K(229.1629), 17M(15.9949), 19K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 23K(229.1629), 25K(229.1629), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4M(15.9949), 6M(15.9949), 6S(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629), N-term(42.0106)			10688857.4609	11781509.4691	9097449.0028	9004608.2132	13187957.5308	12198295.8006	9726778.3470	8315118.4911	9320694.5219	7426494.1856
sp|P54823|DDX6_MOUSE	P54823	DDX6_MOUSE	Ddx6	483	Mus musculus OX=10090	Probable ATP-dependent RNA helicase DDX6 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	24	24	24	10083731	10083731	10083731	11K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 19K(229.1629), 20K(229.1629), 2M(15.9949), 6M(15.9949), 8K(229.1629), N-term(229.1629)			916171.9461	857336.2129	691078.0502	863349.9073	1152554.6089	978759.4440	998187.8499	852198.0669	939000.6038	824509.3124
sp|P54923|ADPRH_MOUSE	P54923	ADPRH_MOUSE	Adprh	362	Mus musculus OX=10090	ADP-ribosylhydrolase ARH1 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	34	34	34	17294776	17294776	17294776	10C(57.0214), 10K(229.1629), 11K(229.1629), 12M(15.9949), 14M(15.9949), 18K(229.1629), 1K(229.1629), 20K(229.1629), 3C(57.0214), 3M(15.9949), 5M(15.9949), 7K(229.1629), 7S(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			2594521.9067	2752237.7711	2062679.5421	2378946.0372	3217158.8496	2809438.9052	2676762.8928	2262919.5835	2469717.8739	2241080.0462
sp|P55012|S12A2_MOUSE	P55012	S12A2_MOUSE	Slc12a2	1205	Mus musculus OX=10090	Solute carrier family 12 member 2 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	19	19	19	9356746	9356746	9356746	10K(229.1629), 12K(229.1629), 13K(229.1629), 20K(229.1629), 22K(229.1629), 2K(229.1629), 2S(229.1629), 6K(229.1629), 7M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629)			771642.7039	864180.9149	617087.5364	665074.8227	905103.4609	784468.9652	862643.6627	672885.4984	734829.4050	742940.0195
sp|P55096|ABCD3_MOUSE	P55096	ABCD3_MOUSE	Abcd3	659	Mus musculus OX=10090	ATP-binding cassette sub-family D member 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	4031936	4031936	4031936	11K(229.1629), 13K(229.1629), 25K(229.1629), 3K(229.1629), 7K(229.1629), 9K(229.1629), N-term(229.1629)			263105.7559	254229.6809	221583.8179	203522.0176	252326.8271	266191.2573	268185.9508	209941.2221	217025.9582	221912.7006
sp|P55258|RAB8A_MOUSE	P55258	RAB8A_MOUSE	Rab8a	207	Mus musculus OX=10090	Ras-related protein Rab-8A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	22616757	1781493	1781493	12K(229.1629), 7S(229.1629), 8K(229.1629), N-term(229.1629)			85168.9256	67012.9452	64968.8520	66905.5960	116163.4595	83953.2096	107224.4844	83726.9812	74022.5805	76607.0258
sp|P55264|ADK_MOUSE	P55264	ADK_MOUSE	Adk	361	Mus musculus OX=10090	Adenosine kinase 	1:Experimental evidence at protein level	1.0000	0.9990	18	2	18	39	4	39	49846702	16886496	49846702	11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15M(15.9949), 1K(229.1629), 21C(57.0214), 22C(57.0214), 24C(57.0214), 25C(57.0214), 28K(229.1629), 3C(57.0214), 4K(229.1629), 4M(15.9949), 6K(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			5366953.6087	6197033.6768	4931986.5667	4432257.8089	6198518.5449	5700584.0053	4543429.7383	3764368.2423	3717049.2728	3179744.9455
sp|P55302|AMRP_MOUSE	P55302	AMRP_MOUSE	Lrpap1	360	Mus musculus OX=10090	Alpha-2-macroglobulin receptor-associated protein 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	33	33	33	41430872	41430872	41430872	10K(229.1629), 12K(229.1629), 12S(229.1629), 2K(229.1629), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629)			3613933.8163	4767235.5688	3086668.7073	4126840.6503	4770114.1562	3855355.0666	5084172.2109	3983235.3477	3844143.0707	3668614.7872
sp|P55772|ENTP1_MOUSE	P55772	ENTP1_MOUSE	Entpd1	510	Mus musculus OX=10090	Ectonucleoside triphosphate diphosphohydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	3132977	3132977	3132977	10K(229.1629), 16K(229.1629), 1K(229.1629), N-term(229.1629)			111374.1749	88569.4698	80874.8486	106549.1542	107126.0898	105800.4445	145530.9226	100443.2487	115797.1616	115545.3707
sp|P56135|ATPK_MOUSE	P56135	ATPK_MOUSE	Atp5mf	88	Mus musculus OX=10090	ATP synthase subunit f, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	23	23	23	168486176	168486176	168486176	10M(15.9949), 5S(229.1629), 9M(15.9949), N-term(229.1629)			1648349.5817	1435115.7797	1478151.7060	1495768.5978	1959083.5195	1969292.8738	1360519.2651	1150141.9374	1121672.9426	1179932.2965
sp|P56212|ARP19_MOUSE	P56212	ARP19_MOUSE	Arpp19	112	Mus musculus OX=10090	cAMP-regulated phosphoprotein 19 	1:Experimental evidence at protein level	1.0000	0.9990	9	4	9	17	8	17	14758906	7303844	14758906	11K(229.1629), 11S(229.1629), 14K(229.1629), 16M(15.9949), 19K(229.1629), 25K(229.1629), 2M(15.9949), 5K(229.1629), 7K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			991975.6237	1209596.0175	938022.3662	971004.2200	1323175.8350	1057488.7320	1094528.3903	951202.7126	939697.9859	880637.4243
sp|P56375|ACYP2_MOUSE	P56375	ACYP2_MOUSE	Acyp2	106	Mus musculus OX=10090	Acylphosphatase-2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	55	55	55	416185784	416185784	416185784	10K(229.1629), 13K(229.1629), 14C(57.0214), 1M(15.9949), 4K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			24232224.1271	32129395.0731	20385927.7336	18576826.3404	28717754.0242	23299860.2909	16727937.3064	14526522.3194	16853066.2424	10474779.1221
sp|P56376|ACYP1_MOUSE	P56376	ACYP1_MOUSE	Acyp1	99	Mus musculus OX=10090	Acylphosphatase-1 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	20	20	20	28684381	28684381	28684381	13K(229.1629), 14K(229.1629), 16K(229.1629), 1K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			2396837.3846	2692795.7453	2118311.8465	1887091.7621	2870350.1641	2361977.8200	1926396.4150	1557963.1210	1853803.7786	1307362.5815
sp|P56379|ATP68_MOUSE	P56379	ATP68_MOUSE	Atp5mj	58	Mus musculus OX=10090	ATP synthase subunit ATP5MJ, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	13	13	13	30292169	30292169	30292169	1M(15.9949), 8K(229.1629), N-term(229.1629)			1575188.2026	1802018.7612	1180495.9776	1511248.1481	1876744.9199	1606647.4564	1391173.3557	1161911.5246	1254540.2482	1081748.3464
sp|P56380|AP4A_MOUSE	P56380	AP4A_MOUSE	Nudt2	147	Mus musculus OX=10090	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	18	18	18	20318484	20318484	20318484	10K(229.1629), 11C(57.0214), 12S(229.1629), 14K(229.1629), 2C(57.0214), 2S(229.1629), 8C(57.0214), N-term(229.1629)			1933622.3006	2075290.0413	1821657.1114	1954277.7438	2670986.5664	2201030.4339	1929123.2062	1529842.2662	1768749.3032	1446992.4322
sp|P56382|ATP5E_MOUSE	P56382	ATP5E_MOUSE	Atp5f1e	52	Mus musculus OX=10090	ATP synthase subunit epsilon, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	37	37	37	534322896	534322896	534322896	2S(229.1629), 4K(229.1629), 4S(229.1629), 5C(57.0214), 5S(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			37694048.1265	39361391.6163	37590208.3814	24736967.7224	33961869.8867	37629687.8612	25002169.9443	21304461.4640	15484472.4412	19618295.2166
sp|P56391|CX6B1_MOUSE	P56391	CX6B1_MOUSE	Cox6b1	86	Mus musculus OX=10090	Cytochrome c oxidase subunit 6B1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	82	82	82	349466200	349466200	349466200	15K(229.1629), 2C(57.0214), 3C(57.0214), 5S(229.1629), 6S(229.1629), 7C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			17957181.4281	18092680.6842	15549035.1666	16128336.3817	22043536.1545	20649159.8989	13999703.6207	13188453.3426	11947034.5955	12390989.7288
sp|P56392|CX7A1_MOUSE	P56392	CX7A1_MOUSE	Cox7a1	80	Mus musculus OX=10090	Cytochrome c oxidase subunit 7A1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	23	23	23	150806080	150806080	150806080	13K(229.1629), 4M(15.9949), N-term(229.1629)			3942347.9543	3996051.0918	3593546.8926	3145057.1644	3821899.2930	4142652.7950	2772196.2403	2556580.0952	2017633.9109	2325606.2986
sp|P56393|COX7B_MOUSE	P56393	COX7B_MOUSE	Cox7b	80	Mus musculus OX=10090	Cytochrome c oxidase subunit 7B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9969	1	1	1	4	4	4	38622880	38622880	38622880	3S(229.1629), 7K(229.1629), N-term(229.1629)			2247688.0790	2812950.8156	2107612.4792	1741624.6288	2381847.0137	3007451.6201	1720142.7994	1657624.0705	1262373.0187	1506593.9149
sp|P56394|COX17_MOUSE	P56394	COX17_MOUSE	Cox17	63	Mus musculus OX=10090	Cytochrome c oxidase copper chaperone 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	18335722	18335722	18335722	13K(229.1629), 16K(229.1629), 1K(229.1629), 3C(57.0214), 4K(229.1629), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 9C(57.0214), N-term(229.1629)			1169971.3652	1237229.8830	945661.0058	897920.2054	1353001.9570	1259934.9232	1268428.0896	1058363.5041	994646.4579	990359.7009
sp|P56395|CYB5_MOUSE	P56395	CYB5_MOUSE	Cyb5a	134	Mus musculus OX=10090	Cytochrome b5 	1:Experimental evidence at protein level	1.0000	0.9990	6	3	6	12	5	12	19446328	15016668	19446328	17S(229.1629), 6K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			828390.2635	947846.0053	693365.7578	734872.2004	1118550.6973	969156.7815	913530.7680	708197.5711	766544.1869	709907.5132
sp|P56399|UBP5_MOUSE	P56399	UBP5_MOUSE	Usp5	858	Mus musculus OX=10090	Ubiquitin carboxyl-terminal hydrolase 5 	1:Experimental evidence at protein level	1.0000	0.9990	28	28	28	74	74	74	37497737	37497737	37497737	11M(15.9949), 13K(229.1629), 14C(57.0214), 14M(15.9949), 15K(229.1629), 17K(229.1629), 19K(229.1629), 1K(229.1629), 24S(229.1629), 25K(229.1629), 26K(229.1629), 2C(57.0214), 36M(15.9949), 38K(229.1629), 4K(229.1629), 5M(15.9949), 5S(229.1629), 6K(229.1629), 6S(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			6422625.7348	7299291.8601	5408375.2823	5360073.4900	7732821.4209	6570535.8421	6043668.3236	4843564.5262	5584151.3384	4604084.2456
sp|P56480|ATPB_MOUSE	P56480	ATPB_MOUSE	Atp5f1b	529	Mus musculus OX=10090	ATP synthase subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	32	32	32	967	967	967	3679454656	3679454656	3679454656	10K(229.1629), 10S(229.1629), 11K(229.1629), 11M(15.9949), 12S(229.1629), 13K(229.1629), 14S(229.1629), 15M(15.9949), 16K(229.1629), 16M(15.9949), 16S(229.1629), 18K(229.1629), 18M(15.9949), 19K(229.1629), 1K(229.1629), 20K(229.1629), 20M(15.9949), 23S(229.1629), 27K(229.1629), 2M(15.9949), 2S(229.1629), 30K(229.1629), 35S(229.1629), 36S(229.1629), 3K(229.1629), 3S(229.1629), 4M(15.9949), 4S(229.1629), 5K(229.1629), 5M(15.9949), 5S(229.1629), 6S(229.1629), 7S(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629)			179554464.7211	142956351.8287	149801198.2509	144830254.9910	183987139.7190	184721862.2376	154728916.6615	121339326.2745	105875191.0367	123161631.2289
sp|P56501|UCP3_MOUSE	P56501	UCP3_MOUSE	Ucp3	308	Mus musculus OX=10090	Mitochondrial uncoupling protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	9	7	9	23	18	23	11708202	11708202	11708202	15K(229.1629), 16K(229.1629), 22K(229.1629), 3M(15.9949), 5S(229.1629), 6C(57.0214), 8K(229.1629), 9C(57.0214), 9M(15.9949), N-term(229.1629)			1432908.7142	1305051.9206	1069944.1069	975215.2738	1224795.5869	1226586.7518	1272454.1706	922194.1469	817608.2244	1000569.7783
sp|P56565|S10A1_MOUSE	P56565	S10A1_MOUSE	S100a1	94	Mus musculus OX=10090	Protein S100-A1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	17	17	17	23357567	23357567	23357567	13K(229.1629), 15K(229.1629), 7K(229.1629), N-term(229.1629)			1503626.8851	1062531.6887	1025137.6334	978513.5113	1709730.0156	1364095.9226	1205785.6585	988860.6721	944283.5090	839424.3331
sp|P56695|WFS1_MOUSE	P56695	WFS1_MOUSE	Wfs1	890	Mus musculus OX=10090	Wolframin 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	33	33	33	62241007	62241007	62241007	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 1K(229.1629), 22K(229.1629), 23K(229.1629), 28K(229.1629), 5C(57.0214), 6S(229.1629), 7K(229.1629), 7M(15.9949), 9K(229.1629), N-term(229.1629)			3035558.4850	3092883.1922	2688960.7832	2386530.9397	3088622.3779	2951866.2472	2873718.5324	2288625.1112	2029351.1086	2117990.9033
sp|P56812|PDCD5_MOUSE	P56812	PDCD5_MOUSE	Pdcd5	126	Mus musculus OX=10090	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	27	27	27	50912513	50912513	50912513	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 7K(229.1629), 8K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			2424564.9240	3029967.4724	2037153.2930	1848844.6616	2704903.9846	2200732.8934	2031942.9359	1668539.5369	1854138.1182	1530058.9975
sp|P56959|FUS_MOUSE	P56959	FUS_MOUSE	Fus	518	Mus musculus OX=10090	RNA-binding protein FUS 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	10	10	10	5792963	5792963	5792963	14K(229.1629), 16K(229.1629), 16M(15.9949), 2K(229.1629), 3C(57.0214), 3K(229.1629), 6C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			784382.4183	762832.3157	598237.4694	571839.1458	1019511.8750	807804.1759	763127.2956	606219.0559	613630.2632	574267.2112
sp|P57746|VATD_MOUSE	P57746	VATD_MOUSE	Atp6v1d	247	Mus musculus OX=10090	V-type proton ATPase subunit D 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	10	9	10	11828168	11828168	11828168	10K(229.1629), N-term(229.1629)			685892.9715	737855.3659	594160.9678	568089.4362	656264.3379	476355.3675	792247.3325	681320.3466	672289.3854	597902.9680
sp|P57759|ERP29_MOUSE	P57759	ERP29_MOUSE	Erp29	262	Mus musculus OX=10090	Endoplasmic reticulum resident protein 29 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	10	10	10	4319312	4319312	4319312	10K(229.1629), 12K(229.1629), 13M(15.9949), 3M(15.9949), 8K(229.1629), N-term(229.1629)			618694.8645	510125.1967	415437.6114	477280.9427	689454.8633	471547.0803	606233.9435	514059.1730	525548.9528	516931.1978
sp|P57776-3|EF1D_MOUSE	P57776-3	EF1D_MOUSE	Eef1d	660	Mus musculus OX=10090	Isoform 3 of Elongation factor 1-delta 		1.0000	0.9990	22	0	22	57	0	57	111610108	     0	111610108	10S(229.1629), 11K(229.1629), 11S(229.1629), 12K(229.1629), 12M(15.9949), 13K(229.1629), 15K(229.1629), 16M(15.9949), 1K(229.1629), 22C(57.0214), 2K(229.1629), 3K(229.1629), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(229.1629), 7S(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)		sp|P57776|EF1D_MOUSE	9254834.8272	10880223.2951	7755687.5033	6935436.3919	9527902.0684	8862412.6257	8280339.0553	6816123.4305	6468525.3635	6063307.6608
sp|P57780|ACTN4_MOUSE	P57780	ACTN4_MOUSE	Actn4	912	Mus musculus OX=10090	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	29	23	29	75	52	75	1670092736	29539666	60703174	10S(229.1629), 11K(229.1629), 12K(229.1629), 12M(15.9949), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 2C(57.0214), 2S(229.1629), 4S(229.1629), 5M(15.9949), 6K(229.1629), 7K(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), N-term(229.1629)			4274667.6563	3820623.3265	3375308.0744	3939723.5060	5369780.6831	4221264.0211	4749158.3133	3734197.0027	4005203.8322	3576124.9717
sp|P57784|RU2A_MOUSE	P57784	RU2A_MOUSE	Snrpa1	255	Mus musculus OX=10090	U2 small nuclear ribonucleoprotein A' 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	2177368	2177368	2177368	1K(229.1629), N-term(229.1629)			200185.9577	161547.0606	162696.0798	139063.5426	203642.4961	140600.9679	154152.9026	128878.2121	124398.9475	113718.7984
sp|P57787|MOT4_MOUSE	P57787	MOT4_MOUSE	Slc16a3	470	Mus musculus OX=10090	Monocarboxylate transporter 4 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	22	20	22	60629941	36391101	60629941	11S(229.1629), 13K(229.1629), 15K(229.1629), 16K(229.1629), 16S(229.1629), 1K(229.1629), 2M(15.9949), 3K(229.1629), 5K(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1745660.2624	2063456.3062	1359597.2807	1454533.8304	2314285.5400	1894843.4308	1717244.8875	1504844.9782	1714055.1551	1359763.0159
sp|P58064|RT06_MOUSE	P58064	RT06_MOUSE	Mrps6	125	Mus musculus OX=10090	28S ribosomal protein S6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	5859091	5859091	5859091	11K(229.1629), 13K(229.1629), 2C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			348317.5012	347443.5977	293254.9355	260332.3835	359964.4570	355311.7846	275566.8020	232968.4399	256115.9884	239410.9019
sp|P58252|EF2_MOUSE	P58252	EF2_MOUSE	Eef2	858	Mus musculus OX=10090	Elongation factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	60	59	60	346	343	346	303855856	282854592	303855856	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 12S(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 14M(15.9949), 15M(15.9949), 16C(57.0214), 17M(15.9949), 18K(229.1629), 19K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 24K(229.1629), 25K(229.1629), 27S(229.1629), 28C(57.0214), 2C(57.0214), 2K(229.1629), 2M(15.9949), 2S(229.1629), 30K(229.1629), 3C(57.0214), 3S(229.1629), 4C(57.0214), 4K(229.1629), 4M(15.9949), 5C(57.0214), 5K(229.1629), 5M(15.9949), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8C(57.0214), 8K(229.1629), 8S(229.1629), 9C(57.0214), 9K(229.1629), 9M(15.9949), N-term(229.1629)			59850964.9343	68611215.9401	49295194.4541	50000306.5695	70185725.1270	61461959.7140	52014615.1655	40727543.4997	46925039.2267	36387846.8891
sp|P58281-2|OPA1_MOUSE	P58281-2	OPA1_MOUSE	Opa1	997	Mus musculus OX=10090	Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial 		1.0000	0.9990	47	1	47	104	2	104	27479938	674545	27479938	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 17M(15.9949), 18K(229.1629), 22K(229.1629), 2K(229.1629), 2S(229.1629), 3C(57.0214), 3M(15.9949), 4K(229.1629), 4S(229.1629), 5C(57.0214), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			7532958.6636	7543561.8772	6465878.0856	6259569.7574	8743338.7185	7783342.4544	6662863.1171	5540702.1527	5667264.3664	5242483.7956
sp|P58389|PTPA_MOUSE	P58389	PTPA_MOUSE	Ptpa	323	Mus musculus OX=10090	Serine/threonine-protein phosphatase 2A activator 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	18	18	18	23166444	23166444	23166444	10K(229.1629), 12S(229.1629), 1K(229.1629), 21K(229.1629), 3S(229.1629), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1244316.9430	1374329.8094	1004095.3912	1104933.8398	1528000.0918	1260967.4872	1293579.1004	1058126.8910	1143447.6109	954343.9341
sp|P58771-2|TPM1_MOUSE	P58771-2	TPM1_MOUSE	Tpm1	284	Mus musculus OX=10090	Isoform 2 of Tropomyosin alpha-1 chain 		1.0000	0.9989	1	1	1	5	5	5	18299782656	6790771	6790771	8K(229.1629), N-term(229.1629)			525182.3899	514336.9480	427644.6073	404136.9386	642121.0352	477924.7242	667611.0645	461494.4231	448564.1248	488511.2265
sp|P58771|TPM1_MOUSE	P58771	TPM1_MOUSE	Tpm1	284	Mus musculus OX=10090	Tropomyosin alpha-1 chain 	1:Experimental evidence at protein level	1.0000	0.9990	57	2	57	1834	357	1834	18299782656	3753474816	18299782656	10K(229.1629), 10S(229.1629), 11K(229.1629), 11S(229.1629), 12K(229.1629), 12S(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15K(229.1629), 15S(229.1629), 16K(229.1629), 17K(229.1629), 19K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 2K(229.1629), 2S(229.1629), 3K(229.1629), 3S(229.1629), 4K(229.1629), 4S(229.1629), 5K(229.1629), 5S(229.1629), 6K(229.1629), 6S(229.1629), 7K(229.1629), 7S(229.1629), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9K(229.1629), N-term(229.1629)			2123267162.0435	2745245069.7027	1831745350.1467	1423267577.4979	2533927285.7954	2109109153.1338	1543259908.6428	1286557712.6282	1629912059.4955	1032625050.1869
sp|P58774-2|TPM2_MOUSE	P58774-2	TPM2_MOUSE	Tpm2	284	Mus musculus OX=10090	Isoform 2 of Tropomyosin beta chain 		1.0000	0.9990	5	4	5	10	8	10	18299782656	24280880	33878584	12K(229.1629), 13K(229.1629), 2M(15.9949), 7K(229.1629), N-term(229.1629)			1805610.7349	1795290.9483	1404062.0981	1188426.3924	1911265.0352	1624829.6658	1860300.2764	1224322.2434	1201410.3461	1269380.5847
